"UID","Rec","Name","Inf","AT Apps","AT Gls","Salary","Min Fee Rls","Pas %","Str","xG"
67011235,"- -  -","Gonzalo Melero","","291","53","$534,000 p/a","$12.75M","90%",12,"0.00"
53170352,"- -  -","Osame Sahraoui","IPR","133","18","$251,000 p/a","-","85%",7,"0.49"
2000141742,"- -  -","Fermín","","37","12","$529,000 p/a","$429M","-",8,"-"
67213140,"- -  -","Kike","","211","15","$627,000 p/a","$12.75M","91%",12,"0.37"
93064994,"- -  -","Anel Ahmedhodžić","Wnt","130","11","$1,624,000 p/a","-","89%",13,"0.19"
28115832,"- -  -","Dylan Levitt","","70","10","$357,000 p/a","-","91%",9,"0.33"
19287778,"- -  -","Iago","Frt","122","4","$1,175,000 p/a","-","100%",11,"0.00"
29040974,"- -  -","James Forrest","","296","69","$1,234,000 p/a","-","81%",12,"1.11"
43081383,"- -  -","Alberto Grassi","","166","5","$1,789,000 p/a","-","84%",12,"0.00"
66042120,"- -  -","Hong Hyun-Seok","IPR","117","5","$251,000 p/a","-","82%",12,"0.00"
67200930,"- -  -","Gorka Guruzeta","","256","67","$586,000 p/a","$13.5M","83%",12,"0.32"
28053447,"- -  -","Nathan Redmond","","395","44","$2,274,000 p/a","-","90%",10,"0.00"
2000011147,"- -  -","Miloš Kerkez","","66","3","$1,624,000 p/a","-","85%",11,"0.00"
43017209,"- -  -","Simone Romagnoli","","362","12","$996,000 p/a","-","89%",15,"0.29"
85030227,"- -  -","Loïc Nego","","274","34","$479,000 p/a","-","-",8,"-"
29083920,"- -  -","Drey Wright","","253","18","$91,000 p/a","-","82%",10,"0.37"
67199082,"- -  -","Fede San Emeterio","","268","9","$698,000 p/a","$12.75M","81%",15,"0.00"
67272744,"- -  -","Antonio Sánchez","","224","15","$195,000 p/a","$12.75M","-",13,"-"
67187249,"- -  -","Joan Jordán","Lst","312","27","$625,000 p/a","$64M","87%",12,"0.04"
67264011,"- -  -","Chris Ramos","","216","37","$342,000 p/a","$14.5M","80%",14,"1.22"
43093890,"- -  -","Alessandro Deiola","","204","15","$793,000 p/a","-","81%",14,"0.00"
18059927,"- -  -","Brandon Mechele","","309","11","$752,000 p/a","-","82%",12,"0.05"
67257035,"- -  -","José Manuel Copete","Wnt","147","2","$473,000 p/a","$11.25M","94%",14,"0.31"
67256515,"- -  -","Antonio Blanco","","94","2","$481,000 p/a","$20M","91%",13,"0.05"
55060877,"- -  -","Tiago Silva","","304","32","$306,000 p/a","$54M","92%",8,"0.94"
19128545,"- -  -","Lucas Piazón","Wnt","215","34","$324,000 p/a","-","-",10,"-"
67153647,"- -  -","Léo Baptistão","","296","56","$512,000 p/a","$13.5M","94%",10,"0.89"
28116003,"- -  -","Nathan Ferguson","Inj","22","1","$325,000 p/a","-","-",14,"-"
19341231,"- -  -","Anderson Jesus","","149","9","$128,000 p/a","-","84%",14,"0.37"
67039108,"- -  -","Juan Carlos","","404","1","$473,000 p/a","$5M","-",13,"-"
67065398,"- -  -","Jaume Costa","","443","11","$473,000 p/a","$1.8M","84%",10,"0.00"
91185080,"- -  -","Jan Thielmann","Inj","89","7","$961,000 p/a","-","-",10,"-"
43161921,"- -  -","Giuseppe Pezzella","Inj","126","1","$889,000 p/a","-","-",14,"-"
12081007,"- -  -","El Bilal Touré","Inj","85","16","$1,510,000 p/a","-","-",14,"-"
55024825,"- -  -","Paulo Oliveira","","315","5","$362,000 p/a","-","-",12,"-"
67175525,"- -  -","Iza","","341","16","$528,000 p/a","$7.5M","89%",10,"0.14"
43092903,"- -  -","Alessio Cragno","","250","-","$1,982,000 p/a","-","-",8,"-"
67235978,"- -  -","Juan Iglesias","","181","3","$492,000 p/a","$10.75M","-",13,"-"
35008097,"- -  -","Sven Ulreich","","340","-","$2,137,000 p/a","-","72%",14,"0.00"
67277847,"- -  -","Jesús Owono","","70","-","$195,000 p/a","$6M","0%",12,"0.00"
91108866,"- -  -","Davie Selke","","279","60","$1,656,000 p/a","-","88%",15,"2.26"
67115585,"- -  -","Roger Martí","","347","133","$1,154,000 p/a","$10.75M","-",10,"-"
37076659,"- -  -","Tomáš Suslov","Trn","93","4","$279,000 p/a","-","86%",11,"0.63"
29084291,"- -  -","Ben Davies","","282","4","$1,559,000 p/a","-","96%",12,"0.19"
91004660,"- -  -","Stefan Bell","","319","19","$1,602,000 p/a","-","91%",13,"0.61"
67085789,"- -  -","Rubén Sobrino","","307","42","$775,000 p/a","$10.5M","97%",10,"0.11"
18114980,"- -  -","Hugo Siquet","","70","3","$418,000 p/a","-","69%",10,"0.16"
19248746,"- -  -","Willyan Rocha","","168","12","$1,414,000 p/a","-","90%",15,"0.42"
37056921,"- -  -","Sai van Wermeskerken","Trn","201","3","$69,500 p/a","-","-",9,"-"
43425720,"- -  -","Lorenzo Pirola","","52","2","$600,000 p/a","-","78%",15,"0.00"
83228401,"- -  -","Toti","","63","3","$520,000 p/a","-","90%",15,"0.00"
18096574,"- -  -","Senne Lynen","IPR","127","9","$1,229,000 p/a","-","76%",12,"0.45"
27088224,"- -  -","Mads Pedersen","","169","5","$1,068,000 p/a","-","86%",9,"0.00"
55027820,"- -  -","André Geraldes","Inj","341","2","$131,000 p/a","-","86%",12,"0.24"
92065838,"- -  -","Pascal Stenzel","","179","2","$1,068,000 p/a","-","89%",12,"0.00"
43315178,"- -  -","Junior Messias","Inj","235","68","$3,964,000 p/a","-","-",12,"-"
91205203,"- -  -","Eric Martel","Wnt","82","4","$855,000 p/a","-","91%",13,"0.00"
28090964,"- -  -","Marek Rodák","","193","-","$974,000 p/a","-","57%",12,"0.00"
67284340,"- -  -","Manu Sánchez","","114","1","$466,000 p/a","$18M","88%",11,"0.00"
67176059,"- -  -","Iván Alejo","","216","8","$502,000 p/a","$11.5M","86%",10,"0.05"
67006487,"- -  -","Aridane Hernández","","370","14","$439,000 p/a","$3.9M","100%",15,"0.00"
67184889,"- -  -","Nacho Vidal","Trn","240","4","$449,000 p/a","$37.5M","88%",11,"0.29"
53167062,"- -  -","Akor Adams","","112","53","$696,000 p/a","-","83%",17,"1.55"
67158096,"- -  -","Rubén Duarte","","284","2","$268,000 p/a","$9.75M","86%",11,"0.00"
67030712,"- -  -","Luis Hernández","","427","10","$609,000 p/a","$4M","89%",13,"0.00"
45111317,"- -  -","Yukinari Sugawara","Wnt","137","9","$267,000 p/a","-","86%",8,"0.48"
67225564,"- -  -","Dani Cárdenas","","135","-","$439,000 p/a","$8.75M","-",11,"-"
91127780,"- -  -","Sven Michel","","345","104","$1,068,000 p/a","-","83%",11,"0.00"
67107816,"- -  -","Kevin","","207","2","$1,233,000 p/a","$9.75M","95%",10,"0.08"
67277397,"- -  -","Randy Nteka","","200","28","$439,000 p/a","$11.5M","86%",15,"0.02"
49037694,"- -  -","Nathan Ngoumou","Wnt","69","11","$1,602,000 p/a","-","71%",9,"0.15"
67214687,"- -  -","Óscar Melendo","","197","4","$439,000 p/a","$11M","71%",8,"0.08"
43080121,"- -  -","Edoardo Goldaniga","Trn","281","12","$1,189,000 p/a","-","-",14,"-"
13194648,"- -  -","Joseph Paintsil","Trn","175","46","$557,000 p/a","-","76%",10,"0.37"
27137069,"- -  -","Oliver Christensen","","103","-","$686,000 p/a","-","-",12,"-"
95078306,"- -  -","Fran Pérez","","77","16","$514,000 p/a","$86M","87%",10,"0.00"
14078688,"- -  -","Franco Cervi","Lst","214","19","$2,671,000 p/a","$11.5M","80%",8,"0.00"
2000033089,"- -  -","Pablo Ibañez","Wnt","166","16","$195,000 p/a","$31M","88%",12,"0.11"
48043484,"- -  -","Pape Gueye","Una","129","4","$1,538,000 p/a","-","-",14,"-"
84152512,"- -  -","Fabian Rieder","","96","11","$874,000 p/a","-","88%",10,"0.07"
33066648,"- -  -","Paul Akouokou","Wnt","144","6","$434,000 p/a","-","-",14,"-"
2000055904,"- -  -","Diego López","","67","17","$761,000 p/a","$107M","86%",8,"0.91"
72049175,"- -  -","Djordje Mihailović","Trn","152","22","$650,000 p/a","-","84%",8,"0.55"
67203459,"- -  -","Toni Lato","","127","3","$452,000 p/a","$9M","84%",9,"0.00"
14227360,"- -  -","Máximo Perrone","","27","2","$2,923,000 p/a","-","81%",10,"0.23"
14150772,"- -  -","Federico Gattoni","Trn","86","7","$498,000 p/a","$9.5M","89%",13,"0.00"
91144336,"- -  -","Mats Köhlert","","186","16","$153,000 p/a","-","90%",9,"0.00"
14079839,"- -  -","Fabrizio Angileri","Inj","146","6","$420,000 p/a","$9M","89%",11,"0.29"
67213135,"- -  -","Sergio Akieme","Trn","182","4","$408,000 p/a","$9M","90%",13,"0.00"
75034409,"- -  -","Pablo Galdames","nEU","180","6","$482,000 p/a","-","93%",11,"0.00"
67213926,"- -  -","Pejiño","","196","45","$267,000 p/a","$10.5M","85%",9,"0.30"
168222,"- -  -","Mats Seuntjens","Trn","324","49","$223,000 p/a","-","84%",14,"1.16"
91177336,"- -  -","Tom Krauß","","98","7","$1,602,000 p/a","-","92%",11,"0.85"
67216756,"- -  -","Carlos Neva","","207","3","$202,000 p/a","$9M","83%",8,"0.00"
91157973,"- -  -","Julian Justvan","Trn","190","30","$1,068,000 p/a","-","98%",8,"0.00"
67277459,"- -  -","Marvin Park","Inj","89","5","$505,000 p/a","$10.5M","84%",9,"0.00"
91126210,"- -  -","Benno Schmitz","","227","4","$961,000 p/a","-","80%",12,"0.00"
67085790,"- -  -","Álex Fernández","","379","43","$690,000 p/a","$24.5M","97%",11,"0.01"
67199429,"- -  -","Jorge Meré","","216","5","$592,000 p/a","-","-",14,"-"
62127145,"- -  -","Nikola Maraš","Trn","265","15","$411,000 p/a","$9.5M","99%",15,"0.00"
62166400,"- -  -","Erhan Mašović","","128","4","$1,015,000 p/a","-","92%",13,"0.35"
67228777,"- -  -","Alejandro Pozo","","219","13","$854,000 p/a","$9M","67%",8,"0.00"
67238450,"- -  -","Sergio Ruiz","","316","32","$404,000 p/a","$10M","93%",10,"0.30"
21021289,"- -  -","Mirko Marić","Trn","280","87","$568,000 p/a","-","-",13,"-"
2000053930,"- -  -","José Ángel Carmona","","57","3","$498,000 p/a","$19.75M","90%",12,"0.00"
91105813,"- -  -","Robin Zentner","Inj","202","-","$1,602,000 p/a","-","62%",16,"0.00"
16184737,"- -  -","Romano Schmid","","184","22","$1,068,000 p/a","-","82%",8,"0.00"
37041911,"- -  -","Daley Sinkgraven","","167","6","$418,000 p/a","$5.75M","75%",9,"0.00"
67269191,"- -  -","Juan Cruz","Trn","109","17","$452,000 p/a","$27M","-",7,"-"
84125462,"- -  -","Chidozie Awaziem","","218","9","$181,000 p/a","-","81%",15,"0.35"
98034815,"- -  -","Andi Zeqiri","","164","46","$1,042,000 p/a","-","58%",12,"1.12"
67293621,"- -  -","Juanmi Latasa","Wnt","70","20","$505,000 p/a","$10.5M","83%",13,"0.27"
67155014,"- -  -","Fali","","332","9","$534,000 p/a","$9.5M","95%",16,"0.00"
67288317,"- -  -","Iker Muñoz","","73","3","$195,000 p/a","$12.75M","87%",10,"0.14"
29087734,"- -  -","Tom Lockyer","Una","390","11","$1,754,000 p/a","-","88%",14,"0.54"
28100767,"- -  -","Cameron Carter-Vickers","","181","6","$1,429,000 p/a","-","91%",18,"0.20"
28016310,"- -  -","Chris Basham","","456","18","$1,429,000 p/a","-","75%",13,"0.00"
37058361,"- -  -","Tahith Chong","","91","5","$2,274,000 p/a","-","94%",8,"0.05"
28027172,"- -  -","Ignasi Miquel","","220","7","$370,000 p/a","$8.75M","90%",13,"0.00"
61089587,"- -  -","Cammy Ballantyne","Trn","96","6","$26,000 p/a","-","87%",14,"0.42"
28049316,"- -  -","Ryan Fredericks","Inj","226","3","$2,274,000 p/a","-","-",9,"-"
2000116169,"- -  -","Sergi Altimira","","89","-","$413,000 p/a","$13.25M","88%",13,"0.00"
28080367,"- -  -","Carlton Morris","","247","59","$1,949,000 p/a","-","86%",15,"2.75"
37044524,"- -  -","Joshua Brenet","Inj","195","16","$390,000 p/a","-","-",12,"-"
2000127465,"- -  -","Arthur Vermeeren","Trn","40","3","$374,000 p/a","-","78%",9,"0.45"
37055853,"- -  -","Dani de Wit","Opt","161","40","$401,000 p/a","-","80%",16,"2.57"
28094954,"- -  -","Sergi Canós","","240","37","$2,228,000 p/a","$107M","88%",10,"0.20"
58021340,"- -  -","Alexey Ionov","Frt","354","60","$789,000 p/a","-","85%",7,"1.48"
28098307,"- -  -","Elijah Adebayo","","207","59","$1,949,000 p/a","-","79%",16,"0.63"
43272248,"- -  -","Gabriele Zappa","","116","8","$600,000 p/a","-","81%",13,"0.01"
58039316,"- -  -","Sergey Petrov","Inj","251","14","$781,000 p/a","-","89%",9,"0.00"
28126249,"- -  -","James McAtee","","43","9","$650,000 p/a","-","86%",9,"0.84"
2000006976,"- -  -","Brodie Spencer","","13","-","$45,500 p/a","-","82%",9,"0.06"
98041249,"- -  -","Cameron Puertas","","196","23","$481,000 p/a","-","81%",13,"0.15"
28106528,"- -  -","Dara O'Shea","","161","11","$2,274,000 p/a","-","95%",13,"0.19"
98038279,"- -  -","Silvan Hefti","Trn","236","5","$1,103,000 p/a","-","83%",12,"0.00"
964847,"- -  -","Federico Fazio","","393","29","$1,982,000 p/a","-","-",16,"-"
5109668,"- -  -","Scott Carson","","472","-","$1,949,000 p/a","-","-",15,"-"
92002651,"- -  -","Leon Balogun","","302","17","$520,000 p/a","-","-",15,"-"
29179807,"- -  -","Jayden Bogle","Wnt","134","10","$1,429,000 p/a","-","84%",11,"0.00"
67245412,"- -  -","Josep Martínez","","120","-","$686,000 p/a","-","81%",11,"0.00"
5208595,"- -  -","Andy Considine","","483","30","$97,500 p/a","-","91%",14,"0.57"
8428716,"- -  -","Kevin Gameiro","","534","174","$1,218,000 p/a","-","100%",10,"0.04"
67066950,"- -  -","Fernando","","274","-","$373,000 p/a","$7.25M","64%",12,"0.00"
67215621,"- -  -","Toni Villa","Inj","274","24","$370,000 p/a","$9.75M","-",7,"-"
75014458,"- -  -","Ángelo Henríquez","","262","75","$603,000 p/a","-","88%",9,"3.05"
18054953,"- -  -","Pieter Gerkens","","247","37","$696,000 p/a","-","84%",7,"1.44"
34001572,"- -  -","Maxime Gonalons","","366","8","$315,000 p/a","-","94%",13,"0.00"
28127254,"- -  -","Elliot Anderson","","45","7","$780,000 p/a","-","100%",12,"0.00"
95036002,"- -  -","Rafa Mujica","Wnt","156","34","$128,000 p/a","$10.75M","89%",12,"1.81"
13162801,"- -  -","Falaye Sacko","","211","3","$168,000 p/a","-","87%",7,"0.70"
72051619,"- -  -","Joe Scally","","82","2","$1,602,000 p/a","-","84%",11,"0.91"
43072400,"- -  -","Kastriot Dermaku","Inj","259","13","$600,000 p/a","-","-",15,"-"
13196665,"- -  -","Issa Kaboré","","90","1","$1,299,000 p/a","-","89%",12,"0.00"
85096693,"- -  -","Frédéric Guilbert","","251","4","$1,114,000 p/a","-","85%",13,"0.33"
43077014,"- -  -","Juan Cruz","","286","8","$195,000 p/a","$16M","94%",11,"0.00"
43206174,"- -  -","Nicolò Casale","","160","2","$1,982,000 p/a","-","98%",16,"0.12"
28127875,"- -  -","Carney Chukwuemeka","Inj","28","-","$6,497,000 p/a","-","-",13,"-"
18101818,"- -  -","Mike Trésor","Trn","146","23","$919,000 p/a","-","-",12,"-"
14196664,"- -  -","Leonardo Balerdi","","104","3","$1,601,000 p/a","-","94%",13,"0.12"
61059681,"- -  -","Liam Gordon","Wnt","179","5","$117,000 p/a","-","89%",14,"2.35"
37003795,"- -  -","Aaron Meijers","","480","15","$75,500 p/a","-","85%",12,"0.09"
91204520,"- -  -","Merlin Röhl","","70","4","$908,000 p/a","-","71%",11,"0.00"
18050692,"- -  -","Davy Roef","","111","-","$529,000 p/a","-","70%",10,"0.00"
67150319,"- -  -","Antonio Puertas","Wnt","355","69","$195,000 p/a","$8.75M","94%",11,"0.60"
37050681,"- -  -","Gustavo Hamer","","211","24","$2,274,000 p/a","-","91%",11,"0.00"
15072078,"- -  -","Kye Rowles","","146","3","$260,000 p/a","-","81%",13,"0.00"
67199947,"- -  -","Adrián Marín","","156","6","$418,000 p/a","$32M","-",14,"-"
19264972,"- -  -","André Silva","","122","30","$231,000 p/a","-","79%",11,"1.69"
18032181,"- -  -","Guillaume Hubert","","126","-","$223,000 p/a","-","50%",15,"0.00"
67293674,"- -  -","Javi López","Wnt","68","-","$195,000 p/a","$12M","89%",12,"0.00"
49048451,"- -  -","Makhtar Guèye","","116","29","$251,000 p/a","-","50%",18,"0.10"
59136080,"- -  -","Nüraly Älip","","138","5","$942,000 p/a","-","89%",13,"0.07"
85057778,"- -  -","Hassane Kamara","","204","13","$1,232,000 p/a","-","-",10,"-"
2000102722,"- -  -","Wilson Odobert","","36","5","$1,299,000 p/a","-","85%",6,"0.45"
67282688,"- -  -","Miguel Rubio","","148","13","$370,000 p/a","$8.75M","93%",14,"0.00"
49037827,"- -  -","Sofiane Diop","Wnt","118","18","$1,114,000 p/a","-","80%",10,"0.44"
49037761,"- -  -","Nicolas Cozza","Trn","104","5","$1,602,000 p/a","-","-",12,"-"
49030852,"- -  -","Thomas Henry","Inj","234","80","$1,103,000 p/a","-","-",16,"-"
19258927,"- -  -","Caio Henrique","Wnt","187","5","$2,104,000 p/a","-","84%",11,"0.00"
85046582,"- -  -","Ruben Aguilar","","258","2","$1,303,000 p/a","-","87%",13,"0.00"
58154551,"- -  -","Saba Sazonov","nEU","64","6","$686,000 p/a","-","-",14,"-"
28117365,"- -  -","Luke Thomas","Trn","60","1","$1,299,000 p/a","-","96%",10,"0.00"
48036723,"- -  -","Alexis Flips","Trn","79","7","$561,000 p/a","-","75%",10,"1.98"
43030617,"- -  -","Luigi Sepe","","211","-","$996,000 p/a","-","-",12,"-"
48036558,"- -  -","Jean-Ricner Bellegarde","","181","10","$2,923,000 p/a","-","-",15,"-"
48036390,"- -  -","Loïc Lapoussin","","169","14","$251,000 p/a","-","85%",10,"0.00"
19180534,"- -  -","Murilo Souza","","171","28","$139,000 p/a","-","90%",8,"0.56"
24025304,"- -  -","Stipe Perica","","251","62","$1,281,000 p/a","-","56%",14,"4.52"
43111412,"- -  -","Adam Masina","Inj","233","9","$1,232,000 p/a","-","-",14,"-"
18027246,"- -  -","Hannes Van Der Bruggen","","314","12","$334,000 p/a","-","75%",9,"0.00"
83110874,"- -  -","João Mendes","","224","27","$287,000 p/a","-","89%",12,"0.83"
43094086,"- -  -","Elio Capradossi","Inj","136","7","$611,000 p/a","-","-",12,"-"
54007218,"- -  -","Maciej Rybus","Inj","331","35","$563,000 p/a","-","-",9,"-"
26030142,"- -  -","Grigoris Kastanos","","158","8","$204,000 p/a","-","86%",10,"0.60"
63029157,"- -  -","Dominik Greif","IPR","132","-","$370,000 p/a","$7.25M","40%",10,"0.00"
43424893,"- -  -","Lorenzo Colombo","","89","12","$600,000 p/a","-","91%",14,"0.23"
43424702,"- -  -","Edoardo Bove","Wnt","37","2","$396,000 p/a","-","94%",12,"0.00"
2000189871,"- -  -","Lewis Miley","Inj","4","-","$130,000 p/a","-","89%",12,"0.00"
18089278,"- -  -","Sofian Kiyine","","148","15","$140,000 p/a","-","80%",9,"0.07"
18114977,"- -  -","Michel-Ange Balikwisha","","106","21","$836,000 p/a","-","69%",7,"1.61"
45090076,"- -  -","Masaya Okugawa","Inj","219","42","$1,282,000 p/a","-","-",8,"-"
2000165617,"- -  -","Kike Salas","Wnt","56","4","$456,000 p/a","$16.25M","92%",13,"0.12"
67271151,"- -  -","Valery","Wnt","103","4","$342,000 p/a","$21.5M","89%",9,"0.37"
27148020,"- -  -","Mohamed Daramy","","128","23","$557,000 p/a","-","80%",13,"1.12"
85116737,"- -  -","Thierry Ambrose","Inj","164","27","$362,000 p/a","-","-",14,"-"
2000105654,"- -  -","Jorrel Hato","","30","2","$315,000 p/a","-","92%",13,"0.00"
18089257,"- -  -","Arnaud Bodart","","135","1","$673,000 p/a","-","60%",11,"0.00"
37041194,"- -  -","Rai Vloet","Inj","243","74","$588,000 p/a","-","-",12,"-"
18087990,"- -  -","Siebe Van der Heyden","","130","4","$195,000 p/a","$8.75M","100%",14,"0.00"
2000071620,"- -  -","Joel Mvuka","Trn","87","11","$353,000 p/a","-","-",7,"-"
29136230,"- -  -","Ryan Yates","","221","21","$1,624,000 p/a","-","90%",13,"0.57"
18083780,"- -  -","Mathieu Maertens","Inj","229","41","$446,000 p/a","-","-",10,"-"
49047179,"- -  -","Anthony Rouault","","80","6","$694,000 p/a","-","93%",14,"0.00"
28011401,"- -  -","Adam Smith","","391","9","$1,949,000 p/a","-","87%",9,"0.44"
27129146,"- -  -","Gustav Isaksen","IPR","99","24","$2,057,000 p/a","-","81%",8,"0.04"
96029182,"- -  -","Przemysław Frankowski","","335","48","$1,114,000 p/a","-","88%",12,"0.00"
2000027530,"- -  -","Juanlu","","112","9","$414,000 p/a","$21.5M","87%",11,"0.03"
37065498,"- -  -","Zakaria Aboukhlal","","154","40","$760,000 p/a","-","84%",13,"0.43"
67018270,"- -  -","Raúl Fernández","","293","-","$335,000 p/a","$3.7M","56%",13,"0.00"
28058330,"- -  -","Tom Lawrence","Lst","285","56","$1,624,000 p/a","-","87%",8,"0.80"
85042905,"- -  -","Nicolas Isimat-Mirin","","261","6","$279,000 p/a","-","91%",14,"0.27"
58104551,"- -  -","Zelimkhan Bakaev","Trn","176","20","$1,178,000 p/a","-","-",10,"-"
80000968,"- -  -","Cristian Gamboa","IPR","263","3","$801,000 p/a","-","87%",10,"0.00"
33049957,"- -  -","Fredrik Jensen","","127","16","$1,015,000 p/a","-","86%",12,"0.50"
67269422,"- -  -","Jon Pacheco","","82","-","$393,000 p/a","$64M","-",8,"-"
19352592,"- -  -","Pablo Roberto","","50","3","$100,000 p/a","-","88%",12,"0.20"
18100063,"- -  -","Lazare Amani","IPR","186","10","$306,000 p/a","-","79%",11,"0.27"
43096264,"- -  -","Tommaso Augello","","374","10","$996,000 p/a","-","87%",13,"0.00"
16202374,"- -  -","Junior Adamu","","112","42","$1,335,000 p/a","-","86%",12,"0.31"
18077354,"- -  -","Jordi Vanlerberghe","Trn","188","15","$390,000 p/a","-","73%",14,"0.57"
16135875,"- -  -","Sandi Lovrić","","230","19","$964,000 p/a","-","88%",12,"0.37"
86060139,"- -  -","José Cifuentes","Trn","182","22","$1,039,000 p/a","-","85%",9,"0.01"
61074608,"- -  -","Greg Taylor","","210","4","$910,000 p/a","-","85%",11,"0.20"
15085654,"- -  -","Marco Tilio","Trn","96","24","$284,000 p/a","-","79%",7,"0.01"
62215974,"- -  -","Jaka Bijol","Wnt","178","12","$1,103,000 p/a","-","93%",16,"1.18"
31041522,"- -  -","Adam Hložek","Wnt","133","36","$2,137,000 p/a","-","91%",14,"0.13"
95036003,"- -  -","Chumi","","105","3","$339,000 p/a","$7.75M","94%",13,"0.26"
92018444,"- -  -","Dominique Heintz","","276","4","$855,000 p/a","-","95%",15,"0.00"
86031832,"- -  -","Mikel Villanueva","","214","10","$251,000 p/a","-","90%",16,"0.35"
28121568,"- -  -","Anthony Elanga","","44","5","$2,923,000 p/a","-","85%",13,"1.19"
28116557,"- -  -","Arnau Puigmal","Trn","55","6","$339,000 p/a","$15M","-",12,"-"
18087914,"- -  -","Mile Svilar","","65","-","$1,371,000 p/a","-","-",13,"-"
19371032,"- -  -","Lázaro","Trn","53","10","$200,000 p/a","$11.25M","88%",11,"0.09"
85080017,"- -  -","Nuke Mfulu","","168","-","$267,000 p/a","$4M","89%",15,"0.11"
2000105641,"- -  -","Adu Ares","","99","12","$348,000 p/a","$7.75M","86%",11,"0.00"
53138885,"- -  -","Erik Botheim","Trn","153","64","$546,000 p/a","-","80%",13,"1.32"
95078288,"- -  -","Jesús Vázquez","","48","1","$353,000 p/a","$86M","96%",12,"0.00"
67192427,"- -  -","Aarón Escandell","","166","-","$214,000 p/a","$5.75M","45%",12,"0.00"
37056071,"- -  -","Armando Obispo","Inj","112","5","$446,000 p/a","-","-",13,"-"
91195878,"- -  -","Luca Netz","","60","2","$1,923,000 p/a","-","-",12,"-"
67245229,"- -  -","Javi Hernández","","184","13","$358,000 p/a","$4.9M","-",10,"-"
76063258,"- -  -","Jhon Durán","","92","20","$2,501,000 p/a","-","89%",15,"0.65"
76040881,"- -  -","Óscar Estupiñán","Trn","214","78","$1,299,000 p/a","-","78%",14,"0.59"
67260201,"- -  -","Oier Zarraga","","165","15","$482,000 p/a","-","100%",13,"0.00"
62076386,"- -  -","Saša Zdjelar","","262","6","$1,064,000 p/a","-","90%",10,"0.48"
55082360,"- -  -","Emmanuel Boateng","","188","36","$153,000 p/a","-","90%",10,"1.03"
13171659,"- -  -","Nicolas Moumi Ngamaleu","","220","42","$1,185,000 p/a","-","91%",10,"3.76"
19061519,"- -  -","Dener","","227","31","$128,000 p/a","-","79%",10,"1.17"
91143866,"- -  -","Aymen Barkok","Trn","106","9","$1,068,000 p/a","-","-",11,"-"
49052213,"- -  -","Robert Navarro","","92","15","$433,000 p/a","$64M","84%",11,"0.36"
67278450,"- -  -","Ricard Sánchez","Wnt","129","7","$301,000 p/a","$9.75M","82%",11,"0.17"
67245889,"- -  -","Álex Suárez","","232","11","$195,000 p/a","$7M","86%",14,"0.30"
2000008568,"- -  -","Williot Swedberg","","63","8","$195,000 p/a","$27M","91%",8,"0.00"
83335576,"- -  -","Pedro Malheiro","Wnt","57","-","$159,000 p/a","$16M","93%",10,"1.00"
91145128,"- -  -","Ajdin Hrustić","Trn","139","15","$407,000 p/a","-","94%",12,"0.00"
19352610,"- -  -","Rodrigo Muniz","","62","11","$780,000 p/a","-","80%",11,"0.10"
83191209,"- -  -","Tomás Ribeiro","","99","4","$209,000 p/a","-","91%",13,"0.03"
42017841,"- -  -","Eli Dasa","Inj","313","7","$1,602,000 p/a","-","83%",10,"0.26"
76043519,"- -  -","Mateo Cassierra","","245","84","$1,068,000 p/a","-","88%",12,"5.64"
45111868,"- -  -","Ayase Ueda","Inj","173","86","$836,000 p/a","-","-",13,"-"
49048461,"- -  -","Lucien Agoumé","Trn","73","-","$482,000 p/a","-","100%",14,"0.00"
25055110,"- -  -","Ondřej Lingr","","159","39","$229,000 p/a","-","86%",12,"2.14"
43112998,"- -  -","Emmanuel Gyasi","","285","39","$1,393,000 p/a","-","-",12,"-"
62124086,"- -  -","Srđan Babić","","234","16","$1,250,000 p/a","-","82%",15,"0.10"
78081773,"- -  -","Carlos Benavídez","","113","6","$214,000 p/a","$21.5M","92%",14,"0.11"
91105896,"- -  -","Klaus Gjasula","","350","19","$534,000 p/a","-","-",14,"-"
864168,"- -  -","Patrick van Aanholt","","389","29","$2,544,000 p/a","-","88%",13,"0.10"
61058341,"- -  -","John Souttar","","206","8","$520,000 p/a","-","79%",14,"0.13"
2000065899,"- -  -","Unai Gómez","","66","7","$308,000 p/a","$6.5M","-",7,"-"
83261445,"- -  -","Filipe Relvas","","89","1","$145,000 p/a","$21.5M","88%",14,"0.03"
2000053956,"- -  -","Abde","","110","35","$195,000 p/a","$6.75M","-",9,"0.00"
7451366,"- -  -","Iván Cuéllar","","421","-","$267,000 p/a","$500K","-",11,"-"
55061773,"- -  -","Wilson Manafá","Inj","233","13","$267,000 p/a","$5.75M","83%",11,"0.00"
2000015032,"- -  -","Kaiky","Trn","32","-","$641,000 p/a","$13M","92%",13,"0.00"
27010766,"- -  -","Victor Pálsson","","354","18","$696,000 p/a","-","68%",15,"0.37"
53166991,"- -  -","Emil Ceïde","Wnt","131","15","$390,000 p/a","-","84%",8,"0.54"
22028022,"- -  -","Kristiyan Malinov","","261","18","$195,000 p/a","-","-",8,"-"
55070267,"- -  -","André Ferreira","Trn","130","-","$267,000 p/a","$48M","68%",11,"0.00"
45109770,"- -  -","Daiki Hashioka","Trn","144","4","$251,000 p/a","-","70%",11,"0.11"
